pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	srnn_hidden650_batch128_dropout0.0_lr1.0	srnn_hidden650_batch128_dropout0.0_lr0.5	srnn_hidden650_batch128_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr1.0	srnn_hidden650_batch128_dropout0.1_lr0.5	srnn_hidden650_batch128_dropout0.2_lr10.0	srnn_hidden650_batch128_dropout0.1_lr10.0	srnn_hidden650_batch128_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.0_lr1.0	srnn_hidden650_batch64_dropout0.0_lr10.0	srnn_hidden650_batch128_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.0_lr0.5	srnn_hidden650_batch64_dropout0.0_lr5.0	srnn_hidden650_batch128_dropout0.2_lr0.5	srnn_hidden650_batch128_dropout0.2_lr1.0	srnn_hidden650_batch64_dropout0.1_lr0.5	srnn_hidden650_batch64_dropout0.1_lr1.0	srnn_hidden650_batch64_dropout0.1_lr10.0	srnn_hidden650_batch64_dropout0.1_lr5.0	srnn_hidden650_batch64_dropout0.2_lr0.5	srnn_hidden650_batch64_dropout0.2_lr10.0	srnn_hidden650_batch64_dropout0.2_lr5.0	srnn_hidden650_batch64_dropout0.2_lr1.0
R__VERB_NOUN_CCONJ_VERB	2	9	plur	считают	correct	generated	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и"	0	True	3832	8	11	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и ищут предпринять блок подозрению музыкальной хирургической лестницы , - сопровождает дедушка Волков . <eos>"	-11.261	-10.228	-12.7669	-9.55155	-9.15164	-9.82275	-9.89855	-11.6303	-10.5065	-11.2622	-10.9196	-10.8138	-11.1656	-11.1295	-9.76722	-10.021	-7.47481	-9.94506	-9.84146	-10.2303	-8.86757	-12.6307	-12.3397	-11.0519
R__VERB_NOUN_CCONJ_VERB	2	9	plur	считает	wrong	generated	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и"	0	True	4547	8	11	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и ищут предпринять блок подозрению музыкальной хирургической лестницы , - сопровождает дедушка Волков . <eos>"	-13.9677	-14.6105	-14.0757	-9.1722	-11.1438	-12.5387	-9.79077	-13.5147	-12.8944	-13.3835	-15.142	-12.1325	-14.2618	-12.5192	-11.6548	-11.5443	-11.2472	-12.2427	-12.9428	-11.0068	-10.6094	-14.1563	-11.5555	-12.3959
L__DET_ADJ_ADJ_NOUN	12	7	plur	подростки	correct	generated	Вы сможете : эти и сильные , мирно далее ложные	0	True	332	7	10	Вы сможете : эти и сильные , мирно далее ложные потребители репутации поступают в важном севере Олега и Николая ( смотри марку Чарльза ) . <eos>	-11.5078	-10.5221	-10.931	-11.8245	-10.1412	-11.6058	-13.0886	-11.427	-10.4546	-12.3225	-12.281	-10.9697	-11.5119	-11.7205	-11.6463	-11.352	-11.7207	-9.96163	-10.928	-10.5683	-11.6016	-9.91447	-11.302	-11.6598
L__DET_ADJ_ADJ_NOUN	12	7	plur	подросток	wrong	generated	Вы сможете : эти и сильные , мирно далее ложные	0	True	180	7	10	Вы сможете : эти и сильные , мирно далее ложные потребители репутации поступают в важном севере Олега и Николая ( смотри марку Чарльза ) . <eos>	-14.9291	-13.8892	-15.5378	-11.9915	-13.2583	-13.3673	-12.0935	-15.124	-13.4496	-15.3374	-13.8863	-14.218	-14.1704	-15.0319	-13.5469	-14.0398	-12.902	-13.185	-15.5024	-11.5086	-13.6881	-12.5197	-12.6815	-13.4955
L__DET_VERB_NOUN	3	5	plur	гонки	correct	generated	трех шара Яковлев , создав все касающиеся в офисе	0	True	1502	4	9	трех шара Яковлев , создав все касающиеся в офисе жалобы , при съемочной арене скамьи проделал космическое бремя в комбинате . <eos>	-10.8501	-10.8654	-12.3276	-10.7539	-11.4554	-10.2049	-9.87777	-11.6085	-10.634	-7.46649	-8.2006	-10.0307	-9.84019	-11.4602	-9.54623	-7.80219	-9.13867	-10.9286	-10.2082	-7.54562	-10.4126	-9.21615	-7.61917	-9.04781
L__DET_VERB_NOUN	3	5	plur	гонку	wrong	generated	трех шара Яковлев , создав все касающиеся в офисе	0	True	473	4	9	трех шара Яковлев , создав все касающиеся в офисе жалобы , при съемочной арене скамьи проделал космическое бремя в комбинате . <eos>	-14.1222	-14.8044	-14.414	-11.9887	-13.4773	-13.9137	-13.7394	-15.1065	-15.7601	-13.8382	-13.1722	-12.6985	-14.7923	-14.5747	-12.991	-11.6325	-13.3297	-15.1844	-15.4812	-12.2247	-14.1539	-13.5925	-14.433	-12.4516
L__ADJ_ADJ_NOUN	50	3	plur	ценностям	correct	generated	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым	0	True	190	4	26	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым силам , имеющие в острых домашних окнах , оставляют трех разложения , чем отклонений . <eos>	-6.80209	-6.66861	-6.72963	-12.0249	-6.31378	-5.9517	-11.7984	-6.12557	-4.60694	-6.4139	-4.07527	-6.3461	-5.81732	-6.7946	-6.4243	-5.88634	-5.73952	-4.73742	-4.69261	-5.54675	-4.87064	-6.44748	-5.51268	-6.1062
L__ADJ_ADJ_NOUN	50	3	plur	ценности	wrong	generated	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым	0	True	1736	4	26	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым силам , имеющие в острых домашних окнах , оставляют трех разложения , чем отклонений . <eos>	-15.4038	-14.1973	-12.7479	-9.85543	-15.6117	-13.5858	-8.0654	-12.8985	-13.7212	-15.1836	-13.7942	-14.388	-15.379	-14.3807	-12.3697	-15.3036	-14.0555	-14.1249	-12.2815	-12.6996	-14.3756	-12.6363	-11.3004	-13.4712
L__DET_ADJ_ADJ_NOUN	16	8	sing	заводе	correct	generated	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном	0	True	3342	4	21	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном протоколе ( те же МВД , Урал и налево действительно . ) . <eos>	-16.1296	-16.389	-15.3021	-9.20984	-15.9337	-13.9322	-9.01301	-13.6909	-14.076	-18.2381	-11.9169	-12.3159	-14.3652	-14.734	-15.2466	-14.8247	-14.6781	-14.5623	-15.3055	-15.6466	-14.5911	-12.2341	-12.9101	-15.3669
L__DET_ADJ_ADJ_NOUN	16	8	sing	заводах	wrong	generated	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном	0	True	650	4	21	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном протоколе ( те же МВД , Урал и налево действительно . ) . <eos>	-18.966	-16.8529	-16.468	-11.1578	-16.549	-16.6057	-9.10644	-14.5985	-16.6411	-17.6132	-12.1801	-14.7672	-15.6548	-16.2403	-16.6167	-18.0656	-17.0999	-16.1158	-15.153	-16.8963	-15.6212	-13.5216	-13.7873	-17.3688
