pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden200_batch128_dropout0.0_lr10.0	hidden200_batch128_dropout0.0_lr1.0	hidden200_batch128_dropout0.0_lr20.0	hidden200_batch128_dropout0.0_lr5.0	hidden200_batch128_dropout0.1_lr10.0	hidden200_batch128_dropout0.1_lr1.0	hidden200_batch20_dropout0.0_lr10.0	hidden200_batch20_dropout0.0_lr1.0	hidden200_batch20_dropout0.0_lr20.0	hidden200_batch128_dropout0.1_lr20.0	hidden200_batch128_dropout0.2_lr20.0	hidden200_batch128_dropout0.2_lr1.0	hidden200_batch20_dropout0.1_lr10.0	hidden200_batch128_dropout0.2_lr5.0	hidden200_batch128_dropout0.1_lr5.0	hidden200_batch20_dropout0.0_lr5.0	hidden200_batch128_dropout0.2_lr10.0	hidden200_batch20_dropout0.1_lr1.0	hidden200_batch20_dropout0.1_lr20.0	hidden200_batch20_dropout0.2_lr10.0	hidden200_batch20_dropout0.1_lr5.0	hidden200_batch64_dropout0.0_lr20.0	hidden200_batch64_dropout0.0_lr1.0	hidden200_batch20_dropout0.2_lr20.0	hidden200_batch20_dropout0.2_lr1.0	hidden200_batch64_dropout0.0_lr5.0	hidden200_batch20_dropout0.2_lr5.0	hidden200_batch64_dropout0.1_lr10.0	hidden200_batch64_dropout0.0_lr10.0	hidden200_batch64_dropout0.1_lr1.0	hidden200_batch64_dropout0.1_lr20.0	hidden200_batch64_dropout0.1_lr5.0	hidden200_batch64_dropout0.2_lr1.0	hidden200_batch64_dropout0.2_lr20.0	hidden200_batch64_dropout0.2_lr10.0	hidden200_batch64_dropout0.2_lr5.0	hidden650_batch128_dropout0.0_lr10.0	hidden650_batch128_dropout0.0_lr1.0	hidden650_batch128_dropout0.0_lr20.0	hidden650_batch128_dropout0.0_lr5.0	hidden650_batch128_dropout0.1_lr10.0	hidden650_batch128_dropout0.1_lr1.0	hidden650_batch128_dropout0.1_lr20.0	hidden650_batch128_dropout0.1_lr5.0	hidden650_batch128_dropout0.2_lr10.0	hidden650_batch128_dropout0.2_lr1.0	hidden650_batch128_dropout0.2_lr20.0	hidden650_batch128_dropout0.2_lr5.0	hidden650_batch128_dropout0.4_lr10.0	hidden650_batch128_dropout0.4_lr1.0	hidden650_batch128_dropout0.4_lr20.0	hidden650_batch128_dropout0.4_lr5.0	hidden650_batch64_dropout0.0_lr10.0	hidden650_batch64_dropout0.0_lr1.0	hidden650_batch64_dropout0.0_lr20.0	hidden650_batch64_dropout0.0_lr5.0	hidden650_batch64_dropout0.1_lr10.0	hidden650_batch64_dropout0.1_lr1.0	hidden650_batch64_dropout0.1_lr20.0	hidden650_batch64_dropout0.1_lr5.0	hidden650_batch64_dropout0.2_lr10.0	hidden650_batch64_dropout0.2_lr1.0	hidden650_batch64_dropout0.2_lr20.0	hidden650_batch64_dropout0.2_lr5.0	hidden650_batch64_dropout0.4_lr10.0	hidden650_batch64_dropout0.4_lr1.0	hidden650_batch64_dropout0.4_lr20.0	hidden650_batch64_dropout0.4_lr5.0
R__VERB_NOUN_CCONJ_VERB	2	9	plur	считают	correct	generated	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и"	0	True	3832	8	11	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и ищут предпринять блок подозрению музыкальной хирургической лестницы , - сопровождает дедушка Волков . <eos>"	-10.4298	-11.3392	-11.6718	-12.5438	-11.1808	-11.3765	-11.8262	-10.3071	-11.0274	-9.42284	-9.70386	-9.54868	-9.59266	-11.2396	-9.40285	-11.7163	-10.2525	-10.9211	-12.6224	-10.4186	-11.2812	-11.0377	-11.5989	-8.94789	-10.7956	-12.2704	-10.4075	-10.947	-13.713	-9.63097	-10.2202	-10.6205	-10.0066	-11.0634	-10.6137	-10.8514	-13.6639	-11.2078	-10.1597	-9.06993	-14.6439	-12.1068	-12.5357	-9.05985	-10.1519	-11.4459	-12.4767	-9.10792	-11.5155	-12.2378	-9.93103	-10.6481	-10.5455	-8.94275	-13.5399	-11.2864	-12.8949	-9.57468	-13.5539	-10.2668	-11.5353	-11.2334	-11.9551	-11.8966	-11.5806	-11.9485	-11.1638	-10.0731
R__VERB_NOUN_CCONJ_VERB	2	9	plur	считает	wrong	generated	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и"	0	True	4547	8	11	""" Традиционные учащиеся соответствуют краткий термин , аналитические яркие изделия и ищут предпринять блок подозрению музыкальной хирургической лестницы , - сопровождает дедушка Волков . <eos>"	-9.93279	-13.2784	-11.5982	-14.8416	-14.5591	-13.6953	-13.7576	-13.5805	-12.3492	-12.8721	-12.7149	-11.8052	-12.7159	-14.2057	-11.6284	-15.5295	-13.3649	-14.1568	-15.022	-13.1791	-12.2628	-15.8665	-15.2313	-11.8803	-13.0386	-14.4208	-12.3442	-12.7295	-16.8996	-10.8778	-12.9369	-13.9893	-13.7663	-12.7548	-12.8409	-12.3573	-15.3924	-13.0586	-14.8484	-13.5305	-14.6143	-13.8035	-14.6767	-9.98003	-13.5471	-13.0931	-14.958	-13.0753	-13.3462	-13.9052	-12.4126	-11.7257	-12.6693	-12.8973	-14.802	-13.9477	-15.5604	-12.674	-15.8123	-13.2322	-15.8263	-12.8597	-13.7314	-14.93	-14.0718	-13.1159	-12.9469	-12.5076
L__DET_ADJ_ADJ_NOUN	12	7	plur	подростки	correct	generated	Вы сможете : эти и сильные , мирно далее ложные	0	True	332	7	10	Вы сможете : эти и сильные , мирно далее ложные потребители репутации поступают в важном севере Олега и Николая ( смотри марку Чарльза ) . <eos>	-11.4973	-9.82615	-9.99964	-9.8345	-10.6881	-11.4793	-14.4566	-12.4644	-10.8102	-11.7959	-10.6993	-11.224	-11.5082	-11.6716	-10.8046	-11.3465	-10.5527	-10.8721	-10.5441	-12.4444	-10.9007	-10.5102	-12.0774	-9.80919	-10.4966	-9.98464	-12.1138	-10.5781	-13.5533	-12.0253	-9.79432	-11.0987	-11.1478	-11.5712	-10.3484	-10.5143	-8.19585	-10.2434	-10.1812	-10.4017	-11.1545	-9.98194	-11.4015	-10.6101	-10.8052	-10.5133	-10.6976	-9.16035	-11.1757	-10.6973	-11.101	-9.62603	-9.84397	-11.3421	-9.8937	-11.9636	-9.22975	-9.69266	-10.4666	-10.7309	-7.90526	-10.9956	-11.7134	-11.7298	-10.6558	-10.2247	-9.90827	-10.7759
L__DET_ADJ_ADJ_NOUN	12	7	plur	подросток	wrong	generated	Вы сможете : эти и сильные , мирно далее ложные	0	True	180	7	10	Вы сможете : эти и сильные , мирно далее ложные потребители репутации поступают в важном севере Олега и Николая ( смотри марку Чарльза ) . <eos>	-15.0183	-12.3627	-17.6191	-15.0127	-16.363	-13.6484	-15.2316	-16.0014	-17.0625	-17.2201	-15.2615	-13.5141	-12.555	-15.4077	-14.3269	-17.0281	-16.3026	-15.3034	-14.7611	-15.4381	-16.9224	-16.6858	-15.0341	-12.4473	-13.9973	-15.545	-15.3584	-17.1412	-18.3626	-13.9073	-14.9362	-16.201	-14.0302	-15.7874	-14.8727	-14.77	-14.7767	-14.5217	-15.133	-17.7482	-18.6235	-13.7889	-18.2048	-17.3955	-16.8959	-15.1249	-17.6412	-15.0987	-15.4906	-15.6218	-16.7636	-14.1586	-15.601	-15.6224	-14.4147	-16.4775	-19.3005	-15.2779	-18.3294	-15.3739	-15.9658	-14.794	-14.748	-15.2109	-15.4146	-15.6093	-15.3046	-14.9714
L__DET_VERB_NOUN	3	5	plur	гонки	correct	generated	трех шара Яковлев , создав все касающиеся в офисе	0	True	1502	4	9	трех шара Яковлев , создав все касающиеся в офисе жалобы , при съемочной арене скамьи проделал космическое бремя в комбинате . <eos>	-11.1103	-9.2899	-11.0894	-10.5499	-10.4582	-10.0427	-10.5628	-10.5829	-10.8508	-8.844	-9.5117	-9.65716	-10.4777	-10.5393	-10.1145	-8.69854	-10.7896	-11.0835	-10.2627	-10.0799	-12.1856	-10.2784	-11.1201	-9.71575	-9.54763	-10.2123	-8.99443	-10.397	-12.2582	-9.93998	-8.33081	-11.3181	-10.3798	-9.01698	-10.5285	-9.65829	-8.99501	-10.6742	-12.7904	-7.46679	-8.90581	-10.3551	-11.8291	-11.2593	-8.50331	-10.0195	-8.55108	-9.27395	-11.0062	-9.38439	-10.4757	-8.68632	-11.7632	-10.2107	-10.7861	-7.49346	-9.91514	-9.19108	-9.95219	-8.94861	-10.4177	-9.87345	-11.14	-7.99141	-10.3761	-10.751	-10.7666	-10.6412
L__DET_VERB_NOUN	3	5	plur	гонку	wrong	generated	трех шара Яковлев , создав все касающиеся в офисе	0	True	473	4	9	трех шара Яковлев , создав все касающиеся в офисе жалобы , при съемочной арене скамьи проделал космическое бремя в комбинате . <eos>	-16.0764	-13.7256	-18.2408	-15.2712	-13.8637	-13.3736	-17.269	-17.7943	-15.6304	-14.9802	-13.9391	-14.7615	-14.0372	-15.956	-14.0801	-15.0091	-15.2438	-17.2139	-14.9457	-15.8981	-17.2417	-14.2627	-15.4393	-13.7103	-14.6253	-17.7388	-12.8282	-12.8384	-15.6117	-14.7016	-12.1294	-16.2181	-14.8211	-13.7008	-14.7203	-15.5701	-13.7394	-15.4626	-16.22	-13.2728	-13.6153	-13.4395	-16.5568	-16.6533	-11.926	-15.0301	-11.895	-12.5287	-14.4497	-12.7465	-14.1241	-12.1493	-16.9185	-16.1705	-13.1218	-13.0365	-14.281	-15.7016	-15.1888	-13.6257	-12.0938	-15.332	-16.0941	-10.8477	-13.7436	-14.0102	-15.7113	-14.0857
L__ADJ_ADJ_NOUN	50	3	plur	ценностям	correct	generated	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым	0	True	190	4	26	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым силам , имеющие в острых домашних окнах , оставляют трех разложения , чем отклонений . <eos>	-4.39709	-5.91527	-5.28855	-5.65638	-4.94617	-6.43209	-5.37066	-4.19503	-6.0558	-3.74358	-5.96016	-5.22462	-8.08553	-5.35376	-5.7366	-6.14156	-6.66668	-6.23417	-6.71013	-5.23284	-6.11199	-8.97524	-5.71342	-3.62935	-6.09485	-6.59122	-6.03166	-3.9847	-6.30839	-5.69731	-5.4632	-7.54414	-5.01217	-6.51805	-6.0504	-5.46056	-6.59284	-3.84989	-4.73218	-6.40736	-6.86669	-5.23361	-3.1241	-6.61986	-6.67367	-5.61478	-5.13562	-5.41432	-5.24072	-5.34827	-5.92932	-5.23282	-6.04247	-5.96494	-6.61299	-7.12055	-6.8364	-4.38628	-7.77121	-4.73261	-5.5259	-5.95372	-7.286	-5.37319	-5.6645	-6.80762	-5.24756	-6.45412
L__ADJ_ADJ_NOUN	50	3	plur	ценности	wrong	generated	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым	0	True	1736	4	26	Куда , партизаны воздушных инфекций : Жизни , Правды , Швейцарии , Безопасности , Книги , ОБСЕ и Лиги , происходящие к официальным экспериментальным и правовым силам , имеющие в острых домашних окнах , оставляют трех разложения , чем отклонений . <eos>	-15.2642	-14.2373	-14.4954	-16.4492	-13.8367	-14.7453	-19.3638	-15.2425	-12.7229	-15.166	-14.9395	-11.5155	-15.249	-15.6865	-16.1603	-14.7251	-14.7988	-12.6084	-14.559	-15.1393	-15.623	-13.3153	-14.5446	-14.6935	-13.2013	-17.6453	-16.0995	-14.1257	-16.0725	-13.5515	-12.2975	-18.2033	-13.7372	-14.9542	-15.6033	-13.918	-15.7186	-13.116	-17.3821	-13.336	-16.1021	-15.1721	-16.754	-15.5296	-21.1512	-13.5855	-13.0202	-17.3684	-15.392	-12.6555	-14.1074	-16.4369	-19.4201	-13.4792	-20.4902	-14.607	-18.6223	-13.3327	-18.5413	-14.1136	-19.2035	-15.0863	-15.2858	-13.6367	-14.4335	-15.9422	-13.9886	-15.9102
L__DET_ADJ_ADJ_NOUN	16	8	sing	заводе	correct	generated	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном	0	True	3342	4	21	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном протоколе ( те же МВД , Урал и налево действительно . ) . <eos>	-17.4032	-17.8495	-15.7256	-17.2423	-15.101	-14.5055	-16.0375	-14.6607	-20.5255	-15.3307	-17.5497	-14.991	-18.7196	-14.8872	-15.3223	-15.5193	-17.037	-14.3026	-12.8743	-18.47	-17.9258	-16.429	-20.658	-13.533	-13.7968	-13.7128	-14.9536	-18.5453	-13.4716	-16.347	-16.0788	-13.616	-18.691	-19.3623	-16.1216	-17.5562	-12.9497	-18.713	-19.8594	-14.974	-12.7087	-16.7429	-16.0282	-18.5292	-21.4702	-15.9365	-15.9697	-16.442	-14.4753	-15.7095	-18.5869	-17.4883	-15.6394	-19.6131	-18.9277	-14.5895	-16.1075	-16.7278	-18.7852	-22.0284	-13.7084	-16.0735	-16.0953	-16.744	-17.0421	-14.6464	-17.4183	-16.6704
L__DET_ADJ_ADJ_NOUN	16	8	sing	заводах	wrong	generated	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном	0	True	650	4	21	Явление экспертов опасаться с другой коррупцией , применяя туристов , верит к традиционному сокращению мозга избежания в том или самом противном протоколе ( те же МВД , Урал и налево действительно . ) . <eos>	-21.3169	-18.9844	-18.69	-16.8497	-20.6883	-14.7713	-20.3247	-13.7141	-19.9554	-18.351	-19.7003	-18.3023	-18.8949	-19.7875	-18.4798	-20.4231	-17.0759	-17.9879	-15.886	-20.7502	-19.1146	-19.8389	-18.0499	-13.3396	-15.9905	-15.7407	-17.8644	-20.499	-17.701	-17.5266	-20.7247	-17.5253	-19.0218	-22.7713	-19.5712	-20.471	-12.388	-19.0838	-19.2559	-15.486	-17.2369	-18.2409	-22.522	-18.2202	-24.5893	-15.615	-18.8576	-19.5158	-17.5383	-16.1812	-20.6917	-19.9226	-16.5304	-19.6236	-16.691	-18.9983	-19.2708	-16.4075	-20.8568	-22.6243	-15.8633	-18.3598	-18.2193	-20.48	-20.4346	-16.2912	-20.8869	-20.3634
