pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0
R__NOUN_NOUN_DET_ADJ	78	9	sing	גאומטרי	correct	generated	ב שתדלנות ו ב אלטרואיזם פרוע מעל פורמט ה סיירות , כמובן הוא נושם את ה צורפים לתכנן את אוצר ה צימוקים , כמו על חישוב ה ליפה ה	0	True	270	4	29	ב שתדלנות ו ב אלטרואיזם פרוע מעל פורמט ה סיירות , כמובן הוא נושם את ה צורפים לתכנן את אוצר ה צימוקים , כמו על חישוב ה ליפה ה משופע ש ב דיבוב . <eos>	-9.27321	-12.4564	-10.5051	-11.6886	-7.44512	-9.76403	-8.48664	-9.72699	-10.2994	-9.88855	-14.3714	-10.2244	-14.0459	-11.3493	-6.53436	-11.1562	-10.5228	-9.52631	-10.2905	-14.3538	-9.55128	-9.68509	-8.31787	-15.1819	-10.43	-8.35871	-10.0287	-12.0435	-11.8851	-9.11536	-12.0939	-11.9462	-10.6588	-11.8422	-11.2362	-13.6327
R__NOUN_NOUN_DET_ADJ	78	9	sing	גאומטריים	wrong	generated	ב שתדלנות ו ב אלטרואיזם פרוע מעל פורמט ה סיירות , כמובן הוא נושם את ה צורפים לתכנן את אוצר ה צימוקים , כמו על חישוב ה ליפה ה	0	True	200	4	29	ב שתדלנות ו ב אלטרואיזם פרוע מעל פורמט ה סיירות , כמובן הוא נושם את ה צורפים לתכנן את אוצר ה צימוקים , כמו על חישוב ה ליפה ה משופע ש ב דיבוב . <eos>	-14.1043	-11.9792	-8.79178	-11.1698	-14.7418	-14.9927	-10.8385	-7.88894	-9.93149	-8.81228	-14.6385	-12.6397	-12.353	-13.642	-9.64785	-9.34949	-9.63329	-9.52145	-12.8548	-12.0886	-8.42575	-12.2009	-10.4445	-14.2129	-10.6203	-11.3246	-12.3239	-9.94571	-9.54771	-8.49092	-9.94159	-12.857	-9.74279	-9.44413	-11.5282	-11.0173
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	5	5	plur	מקשים	correct	generated	"לאחר מ כן היא סופגת את ה טלה ב דיני ה "" קולטן "" זוועות , מחרת ,"	0	True	332	4	18	"לאחר מ כן היא סופגת את ה טלה ב דיני ה "" קולטן "" זוועות , מחרת , נופשים , סוכנים , מגרשי מחשוף , כרכי נסיעה , מאזניים יוניים ו עוד . <eos>"	-14.9255	-15.4494	-13.7272	-15.8891	-14.0151	-12.6018	-13.4039	-15.6683	-14.7906	-13.4828	-12.7217	-15.28	-17.4533	-14.6151	-13.8761	-18.8084	-12.9469	-11.7135	-12.475	-17.628	-12.1055	-16.5776	-14.7472	-13.7073	-16.6624	-13.9462	-12.5684	-16.1762	-13.1568	-17.0786	-12.4803	-13.7916	-14.1542	-16.9924	-17.0011	-17.7495
R__NOUN_PUNCT_NOUN_PUNCT_NOUN	5	5	plur	מקש	wrong	generated	"לאחר מ כן היא סופגת את ה טלה ב דיני ה "" קולטן "" זוועות , מחרת ,"	0	True	142	4	18	"לאחר מ כן היא סופגת את ה טלה ב דיני ה "" קולטן "" זוועות , מחרת , נופשים , סוכנים , מגרשי מחשוף , כרכי נסיעה , מאזניים יוניים ו עוד . <eos>"	-19.3901	-17.4059	-14.414	-16.6304	-14.2062	-16.744	-17.6408	-15.7699	-15.5681	-18.542	-16.9721	-16.4309	-18.3834	-16.9707	-16.298	-18.448	-17.0273	-14.2809	-12.1348	-20.2737	-12.9919	-14.7267	-16.4561	-16.5423	-17.6559	-16.5927	-14.6718	-20.302	-13.56	-17.9214	-14.7196	-17.8106	-17.3318	-16.6644	-16.1767	-18.9924
R__NOUN_ADJ_PUNCT_SCONJ_VERB	4	7	sing	מתיישב	correct	generated	ב סירוס ה מוצלים פלטון ב ברומיד הוזכרה אן דונם תבוני , ה	0	True	248	4	13	ב סירוס ה מוצלים פלטון ב ברומיד הוזכרה אן דונם תבוני , ה מוחל בין שני וותיקי עילוי ה משתדלים , ב מבואות של מעורער מ עתיר גבינה ו עד והיפראקטיביות מודיעיני . <eos>	-8.22725	-9.53446	-8.97742	-8.01403	-7.65335	-9.81805	-8.81094	-9.23905	-8.7827	-10.4491	-8.09777	-11.7681	-8.58905	-9.65659	-9.64528	-11.3438	-8.89018	-9.16428	-9.04725	-8.99913	-8.29009	-7.31383	-9.38043	-8.34575	-8.8955	-8.7875	-8.42645	-8.76851	-9.07868	-8.31392	-10.129	-7.15571	-7.88938	-9.93302	-7.76798	-8.25678
R__NOUN_ADJ_PUNCT_SCONJ_VERB	4	7	sing	מתיישבים	wrong	generated	ב סירוס ה מוצלים פלטון ב ברומיד הוזכרה אן דונם תבוני , ה	0	True	2626	4	13	ב סירוס ה מוצלים פלטון ב ברומיד הוזכרה אן דונם תבוני , ה מוחל בין שני וותיקי עילוי ה משתדלים , ב מבואות של מעורער מ עתיר גבינה ו עד והיפראקטיביות מודיעיני . <eos>	-9.62074	-12.0269	-12.8493	-10.8734	-10.3319	-9.4283	-10.5579	-10.7222	-11.3899	-14.1325	-7.45425	-13.6195	-12.159	-10.5732	-9.71615	-13.1905	-10.2061	-8.71396	-11.3146	-13.3897	-11.6004	-11.7729	-12.1134	-9.9081	-10.3961	-8.38745	-9.14412	-18.92	-11.2176	-12.2183	-11.8081	-9.88635	-12.7932	-10.3659	-8.55049	-11.0267
R__NOUN_ADJ_DET_ADJ	57	9	plur	שיתופיות	correct	generated	שני ה כימאים השתנו כי ב ספירלה יוכל אסן לקצר את ה מברג של ה תעודות ה ספרותיות ה	0	False	158	4	19	שני ה כימאים השתנו כי ב ספירלה יוכל אסן לקצר את ה מברג של ה תעודות ה ספרותיות ה כלכליות , ש תחביב אינו משוכנע בהן עכשיו . <eos>	-10.7343	-10.6201	-12.6718	-12.0988	-11.6043	-10.5819	-12.4737	-12.329	-11.7325	-13.1841	-12.6625	-13.7269	-13.26	-9.96281	-12.8687	-11.5069	-9.33626	-11.4361	-10.6009	-11.3824	-12.0716	-11.3441	-11.6106	-11.0012	-10.1238	-11.1612	-10.4016	-10.6215	-9.19774	-11.2623	-10.2402	-9.89616	-10.8369	-12.2193	-11.4676	-12.0753
R__NOUN_ADJ_DET_ADJ	57	9	plur	שיתופית	wrong	generated	שני ה כימאים השתנו כי ב ספירלה יוכל אסן לקצר את ה מברג של ה תעודות ה ספרותיות ה	0	False	375	4	19	שני ה כימאים השתנו כי ב ספירלה יוכל אסן לקצר את ה מברג של ה תעודות ה ספרותיות ה כלכליות , ש תחביב אינו משוכנע בהן עכשיו . <eos>	-17.9582	-12.909	-14.5721	-15.4288	-15.9778	-15.1011	-15.7521	-14.3085	-15.738	-15.1751	-17.5333	-17.0775	-16.8129	-11.4446	-16.8628	-15.5123	-11.3755	-14.2981	-13.8381	-13.383	-16.6179	-13.5821	-16.7819	-16.2236	-13.7883	-12.1944	-13.7856	-14.2825	-13.4171	-13.4475	-13.043	-15.4992	-14.6696	-14.2329	-12.7626	-15.4448
R__NOUN_NOUN_DET_ADJ	70	1	plur	דומיננטיים	correct	generated	זה ימאים ערביים ש ספורטאי ה שוד ה	1	False	165	4	8	זה ימאים ערביים ש ספורטאי ה שוד ה עגולים מתנשקים ל אישום ה מפרך על ה סגנים ה מולדים . <eos>	-15.1519	-16.6378	-13.0422	-16.1529	-19.2117	-16.0359	-15.4313	-13.2774	-14.5978	-14.3702	-15.5625	-14.5317	-12.8908	-18.366	-15.7596	-15.9816	-14.6969	-15.092	-12.3745	-11.9165	-16.1882	-15.4908	-14.4724	-17.3249	-15.3857	-16.4483	-13.5024	-13.5467	-13.052	-15.427	-14.3082	-13.5677	-13.6522	-17.1094	-15.1836	-15.8967
R__NOUN_NOUN_DET_ADJ	70	1	plur	דומיננטי	wrong	generated	זה ימאים ערביים ש ספורטאי ה שוד ה	1	False	641	4	8	זה ימאים ערביים ש ספורטאי ה שוד ה עגולים מתנשקים ל אישום ה מפרך על ה סגנים ה מולדים . <eos>	-11.5136	-10.0087	-10.9834	-12.0971	-9.9129	-10.7326	-8.59327	-9.07166	-10.0024	-13.6436	-9.94516	-6.56814	-10.541	-10.6844	-10.2451	-8.81699	-9.98305	-9.69614	-9.72289	-8.78833	-9.61364	-7.97491	-10.2397	-11.2101	-7.0458	-10.6856	-9.66168	-10.3717	-10.003	-12.4019	-10.3595	-8.6845	-9.68091	-11.7619	-11.0611	-6.60276
